region,max_rainfall,latitude,longitude
Pernambuco interior forests,6.1,-8.897971292392555,-36.16871957934688
Rakiura Island temperate forests,6.0,-46.987920481053536,167.89017977421048
Daba Mountains evergreen forests,6.0,31.705000219641448,108.62273140904627
Willamette Valley oak savanna,6.0,44.87485886986391,-122.98177152721141
Mesoamerican Gulf-Caribbean mangroves,5.7,18.187877345545356,-88.97369779758078
Western Java rain forests,5.6,-6.9195113417670635,107.8776313144084
Blue Mountains forests,5.5,44.81202540606686,-118.61837452315152
Mascarene forests,5.3,-20.77486173261119,56.457593523597716
Cross-Sanaga-Bioko coastal forests,5.1,5.129817858006106,9.348414904213994
Mindanao-Eastern Visayas rain forests,5.0,8.55517395618273,124.75821313938688
Paraná flooded savanna,5.0,-31.042824015298397,-59.532253461742826
Australian Alps montane grasslands,4.9,-36.65880039295697,147.7390682956524
Sumatran lowland rain forests,4.9,-0.6303782198965853,101.33772542149747
Madagascar subhumid forests,4.7,-19.106145936406328,47.14764695364909
Huon Peninsula montane rain forests,4.6,-6.111194042585512,146.7519752787712
Fiji tropical dry forests,4.6,-17.323847091495704,178.20199804264442
Crete Mediterranean forests,4.6,35.222348960560105,24.843032358664214
Zambezian evergreen dry forests,4.5,-13.326320336638307,24.079362775900876
Euxine-Colchic broadleaf forests,4.5,41.2072842209011,35.02706941292272
Central Range Papuan montane rain forests,4.4,-5.038867742694143,141.35128706126807
Kaokoveld desert,4.4,-17.99194767464668,12.51238454598164
Sumba deciduous forests,4.4,-9.760878738855729,119.94907106874862
Caledon conifer forests,4.4,57.17576490614072,-4.204720196124588
Chiquitano dry forests,4.4,-16.11154098921144,-60.50983089100575
Northern Andean páramo,4.2,1.6463165730370146,-76.44403472192616
Mentawai Islands rain forests,4.1,-2.080844729779067,99.52017463588227
Sumatran tropical pine forests,3.9,2.4230633943276882,98.33085165768418
Sunda Shelf mangroves,3.9,0.8421284853282557,110.58945023391861
Qionglai-Minshan conifer forests,3.8,30.564240229431032,102.99025070937863
Northern Shortgrass prairie,3.7,47.55583031175631,-105.63968241960043
Canadian Aspen forests and parklands,3.7,49.39040069806108,-102.7929197552445
Central African mangroves,3.7,3.4071927434031792,7.127127382611599
Madagascar ericoid thickets,3.5,-17.685340187451978,47.82350381387689
Sichuan Basin evergreen broadleaf forests,3.5,30.194298149229223,105.1938210516223
